lexeme.id,lexeme.entrada,lexeme.sinal,lexeme.lematizacao,lexeme.desambiguacao,lexeme.sinonimos,lexeme.exemplo_uso,lexeme.glosa,lexeme.video_sinal,lexeme.video_exemplo,lexeme.link_sinal,lexeme.link_exemplo,lexeme.status,lexeme.observacao,lexeme.is_active,lexeme.created_on,lexeme.created_by,lexeme.modified_on,lexeme.modified_by
1,ABAIXO,ABAIXO.1,,,EMBAIXO,O GATO ESTÁ ABAIXO DA MESA,MESA GAT@ ABAIXO.1,,,https://drive.google.com/file/d/16rbKphSvD0pVu4SOS6rQof9QVt_cAzyr/view?usp=share_link,https://drive.google.com/file/d/16rMUgdKIWTeMPEI2jfMHDdwSWTfkiQCd/view?usp=share_link,OK,,,,,,
2,ABAIXO,ABAIXO.1,,,EMBAIXO,O LIVRO ESTÁ ABAIXO DAQUELA CADEIRA,AQUEL@ CADEIRA LIVRO ABAIXO.1,,,https://drive.google.com/file/d/16rbKphSvD0pVu4SOS6rQof9QVt_cAzyr/view?usp=share_link,https://drive.google.com/file/d/16mhws7KrjoeXDszbrAuYGjLzApsRrBT_/view?usp=share_link,OK,,,,,,
3,ABANDONAR,ABANDONAR.1,Abandonar 1 e 2 possuem diferenças fonológicas,,,EU ABANDONEI O CURSO DE INGLÊS,EU ABANDONAR.1 CURSO INGLÊS,,,https://drive.google.com/file/d/16kDOU8-ob0tFa9BCVdFJQ6ib0kB4RLqG/view?usp=share_link,https://drive.google.com/file/d/16fuknHZmyW6gS3VjeKbf0zdugVfvp98b/view?usp=share_link,OK,,,,,,
4,ABANDONAR,ABANDONAR.2,,,,EU VI UM HOMEM ABANDONAR UM CACHORRO,EU VER HOMEM ABANDONAR.2 CACHORRO,,,https://drive.google.com/file/d/16jLigKS2_6capjy6I87dgzSxXRNoGJkL/view?usp=share_link,https://drive.google.com/file/d/16eXVOrQHkyIY5rO4Hj7ZqULQZyYnxHXX/view?usp=share_link,OK,,,,,,
5,ABANDONAR,ABANDONAR.2,,,,AQUELA CASA ESTÁ ABANDONADA,AQUEL@ CASA ABANDONAR.2,,,https://drive.google.com/file/d/16jLigKS2_6capjy6I87dgzSxXRNoGJkL/view?usp=share_link,https://drive.google.com/file/d/16ZSVPHn5_Z8oeivBnXTCdJSMfbv_lHUm/view?usp=share_link,OK,,,,,,
6,ABANDONAR,ABANDONAR-ME,,,,MEU NAMORADO ME ABANDONOU,MEU NAMORAD@ ABANDONAR-ME,,,GRAVAR,https://drive.google.com/file/d/16f20kvn8YGSpBKPaEIHVlsHIlG9eyTij/view?usp=share_link,H,,,,,,
7,ABRIR,abril.1,variação regional,,,MÊS DE ABRIL TEM FERIADO,MÊS ABRIL TER FERIADO,,,https://drive.google.com/file/d/16WcP1PpCgK9qHueru72DWgZs3W9CEXZ4/view?usp=share_link,https://drive.google.com/file/d/16TIn22z4gxoyqKSzTKsoeLvGLYgUIVXs/view?usp=share_link,OK,,,,,,
8,ABRIR,abril.2,variação regional,,,MEU ANIVERSÁRIO É NO MÊS DE ABRIL,MEU ANIVERSÁRIO MÊS ABRIL,,,https://drive.google.com/file/d/16Tn-YfvAc7aYa8IqbMoBxRImSwOTWEZ2/view?usp=share_link,https://drive.google.com/file/d/16T8lIE78gl_UfnY79yGVMr4olN_v4-8K/view?usp=share_link,OK,,,,,,
9,ABRIR,ABRIR_1,"forma de citação 1 e 2, e são variações fonológicas",,,HOJE A LOJA ABRE AS 9:00,HOJE LOJA ABRIR HORA 9,,,https://drive.google.com/file/d/16PRn_rTZRLY7ZTf52xyLnVUEkhRR4xhV/view?usp=share_link,https://drive.google.com/file/d/16KU9VW6sVjn2I5EtITDs0Lkl6KUgjglm/view?usp=share_link,OK,,,,,,
10,ABRIR,ABRIR_2,,,,,,,,https://drive.google.com/file/d/16KqTtPnH472unHEePn3mAJAJUNuvQnDM/view?usp=share_link,GRAVAR,I,,,,,,
